theta1,theta2,theta3,px,py,phi
0,80,110,37.24977205,35.91934657,190
0,80,120,38.15207469,32.55190725,200
0,80,130,39.62541903,29.39231012,210
0,80,140,41.62503824,26.53655793,220
0,80,150,44.09017491,24.07142126,230
0,80,160,46.94592711,22.07180204,240
0,80,170,50.10552424,20.5984577,250
0,80,180,53.47296355,19.69615506,260
0,90,0,50,60,90
0,90,10,46.52703645,59.69615506,100
0,90,20,43.15959713,58.79385242,110
0,90,30,40,57.32050808,120
0,90,40,37.14424781,55.32088886,130
0,90,50,34.67911114,52.85575219,140
0,90,60,32.67949192,50,150
0,90,70,31.20614758,46.84040287,160
0,90,80,30.30384494,43.47296355,170
0,90,90,30,40,180
0,90,100,30.30384494,36.52703645,190
0,90,110,31.20614758,33.15959713,200
0,90,120,32.67949192,30,210
0,90,130,34.67911114,27.14424781,220
0,90,140,37.14424781,24.67911114,230
0,90,150,40,22.67949192,240
0,90,160,43.15959713,21.20614758,250
0,90,170,46.52703645,20.30384494,260
0,90,180,50,20,270
0,100,0,39.58110934,59.08846518,100
0,100,10,36.21367003,58.18616254,110
0,100,20,33.05407289,56.7128182,120
0,100,30,30.1983207,54.71319898,130
0,100,40,27.73318403,52.24806231,140
0,100,50,25.73356482,49.39231012,150
0,100,60,24.26022048,46.23271299,160
0,100,70,23.35791783,42.86527367,170
0,100,80,23.05407289,39.39231012,180
0,100,90,23.35791783,35.91934657,190
0,100,100,24.26022048,32.55190725,200
0,100,110,25.73356482,29.39231012,210
0,100,120,27.73318403,26.53655793,220
0,100,130,30.1983207,24.07142126,230
0,100,140,33.05407289,22.07180204,240
0,100,150,36.21367003,20.5984577,250
0,100,160,39.58110934,19.69615506,260
0,100,170,43.05407289,19.39231012,270
0,100,180,46.52703645,19.69615506,280
0,110,0,29.4787914,56.38155725,110
0,110,10,26.31919427,54.90821291,120
0,110,20,23.46344207,52.90859369,130
0,110,30,20.9983054,50.44345703,140
0,110,40,18.99868619,47.58770483,150
0,110,50,17.52534185,44.4281077,160
0,110,60,16.62303921,41.06066838,170
0,110,70,16.31919427,37.58770483,180
0,110,80,16.62303921,34.11474128,190
0,110,90,17.52534185,30.74730196,200
0,110,100,18.99868619,27.58770483,210
0,110,110,20.9983054,24.73195264,220
0,110,120,23.46344207,22.26681597,230
0,110,130,26.31919427,20.26719676,240
0,110,140,29.4787914,18.79385242,250
0,110,150,32.84623071,17.89154977,260
